2024-09-06 00:15:03,769 - INFO - Starting Bayesian optimization for q_learning agent
2024-09-06 00:15:03,836 - INFO - Trial 0: Parameters: {'learning_rate': 0.020023010688718403, 'discount_factor': 0.9793446188777337, 'epsilon': 0.30408481378646013, 'epsilon_decay': 0.995410920089823}, Performance: 0.0
2024-09-06 00:15:04,519 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:04,587 - INFO - Parameters: {'learning_rate': 0.01, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-06 00:15:04,653 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:04,731 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-06 00:15:04,785 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:04,841 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.9, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-06 00:15:04,906 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:04,972 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.1, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-06 00:15:05,039 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.99}, Performance: 0.0
2024-09-06 00:15:05,100 - INFO - Parameters: {'learning_rate': 0.1, 'discount_factor': 0.99, 'epsilon': 0.2, 'epsilon_decay': 0.999}, Performance: 0.0
2024-09-06 00:15:05,100 - INFO - Grid search completed. Best parameters: {'learning_rate': 0.01, 'discount_factor': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.99}, Best performance: 0.0
2024-09-06 00:15:05,100 - INFO - Starting random search for q_learning agent
2024-09-06 00:15:05,165 - INFO - Parameters: {'learning_rate': 0.06450245825991628, 'discount_factor': 0.9077657674218554, 'epsilon': 0.16965615992771724, 'epsilon_decay': 0.9986721856059124}, Performance: 0.0
2024-09-06 00:15:05,218 - INFO - Parameters: {'learning_rate': 0.09507557841902435, 'discount_factor': 0.9820548518378227, 'epsilon': 0.2561901803742529, 'epsilon_decay': 0.9973222159693215}, Performance: 0.0
2024-09-06 00:15:05,275 - INFO - Parameters: {'learning_rate': 0.048102424094469506, 'discount_factor': 0.9792757495223611, 'epsilon': 0.38584280457287445, 'epsilon_decay': 0.9945102665306742}, Performance: 0.0
2024-09-06 00:15:05,334 - INFO - Parameters: {'learning_rate': 0.08951040114903266, 'discount_factor': 0.9548910401899813, 'epsilon': 0.449936695868964, 'epsilon_decay': 0.9912754593822042}, Performance: 0.0
2024-09-06 00:15:05,389 - INFO - Parameters: {'learning_rate': 0.017137027129787853, 'discount_factor': 0.9572406256640404, 'epsilon': 0.35002031316281756, 'epsilon_decay': 0.9986111754890642}, Performance: 0.0
2024-09-06 00:15:05,390 - INFO - Random search completed. Best parameters: {'learning_rate': 0.06450245825991628, 'discount_factor': 0.9077657674218554, 'epsilon': 0.16965615992771724, 'epsilon_decay': 0.9986721856059124}, Best performance: 0.0
